# Exact Mahonian harness extension, m = 4..400
# Exact integer/Fraction arithmetic in every verdict; floats display-only.
# sigma^2 = m(m-1)(2m+5)/72; C_SHARP = 187/216 = 0.8657407407407407
# mfit column = m*(1 - varfit), predicted -> 27/25 = 1.08
   m      N argmin    mid          r-1       varfit     mfit verdict
  93   4278   2139   2139   4.3549e-05 0.9884407026  1.07501   PASS
  94   4371   2185   2185   4.2186e-05 0.9885630911  1.07507   PASS
  95   4465   2232   2232   4.0879e-05 0.9886827979  1.07513   PASS
  96   4560   2280   2280   3.9626e-05 0.9887999170  1.07521   PASS
  97   4656   2328   2328   3.8423e-05 0.9889147499  1.07527   PASS
  98   4753   2376   2376   3.7269e-05 0.9890273563  1.07532   PASS
  99   4851   2425   2425   3.6160e-05 0.9891375984  1.07538   PASS
 100   4950   2475   2475   3.5095e-05 0.9892455557  1.07544   PASS
 101   5050   2525   2525   3.4072e-05 0.9893514843  1.07550   PASS
 102   5151   2575   2575   3.3087e-05 0.9894554354  1.07555   PASS
 103   5253   2626   2626   3.2141e-05 0.9895572916  1.07560   PASS
 104   5356   2678   2678   3.1230e-05 0.9896571202  1.07566   PASS
 105   5460   2730   2730   3.0353e-05 0.9897551405  1.07571   PASS
 106   5565   2782   2782   2.9509e-05 0.9898513966  1.07575   PASS
 107   5671   2835   2835   2.8695e-05 0.9899457878  1.07580   PASS
 108   5778   2889   2889   2.7912e-05 0.9900383715  1.07586   PASS
 109   5886   2943   2943   2.7156e-05 0.9901293365  1.07590   PASS
 110   5995   2997   2997   2.6428e-05 0.9902187209  1.07594   PASS
 111   6105   3052   3052   2.5725e-05 0.9903064380  1.07599   PASS
 112   6216   3108   3108   2.5047e-05 0.9903925371  1.07604   PASS
 113   6328   3164   3164   2.4393e-05 0.9904771814  1.07608   PASS
 114   6441   3220   3220   2.3762e-05 0.9905604042  1.07611   PASS
 115   6555   3277   3277   2.3151e-05 0.9906421303  1.07616   PASS
 116   6670   3335   3335   2.2562e-05 0.9907224023  1.07620   PASS
 117   6786   3393   3393   2.1993e-05 0.9908013620  1.07624   PASS
 118   6903   3451   3451   2.1442e-05 0.9908790388  1.07627   PASS
 119   7021   3510   3510   2.0910e-05 0.9909553669  1.07631   PASS
 120   7140   3570   3570   2.0395e-05 0.9910303834  1.07635   PASS
 121   7260   3630   3630   1.9897e-05 0.9911042123  1.07639   PASS
 122   7381   3690   3690   1.9415e-05 0.9911768792  1.07642   PASS
 123   7503   3751   3751   1.8949e-05 0.9912483266  1.07646   PASS
 124   7626   3813   3813   1.8497e-05 0.9913185870  1.07650   PASS
 125   7750   3875   3875   1.8059e-05 0.9913877690  1.07653   PASS
 126   7875   3937   3937   1.7636e-05 0.9914558953  1.07656   PASS
 127   8001   4000   4000   1.7225e-05 0.9915229154  1.07659   PASS
 128   8128   4064   4064   1.6827e-05 0.9915888577  1.07663   PASS
 129   8256   4128   4128   1.6441e-05 0.9916538178  1.07666   PASS
 130   8385   4192   4192   1.6067e-05 0.9917178161  1.07668   PASS
 131   8515   4257   4257   1.5704e-05 0.9917808077  1.07671   PASS
 132   8646   4323   4323   1.5352e-05 0.9918428178  1.07675   PASS
 133   8778   4389   4389   1.5011e-05 0.9919039309  1.07678   PASS
 134   8911   4455   4455   1.4679e-05 0.9919641651  1.07680   PASS
 135   9045   4522   4522   1.4358e-05 0.9920234807  1.07683   PASS
 136   9180   4590   4590   1.4045e-05 0.9920818998  1.07686   PASS
 137   9316   4658   4658   1.3742e-05 0.9921394976  1.07689   PASS
 138   9453   4726   4726   1.3447e-05 0.9921962901  1.07691   PASS
 139   9591   4795   4795   1.3161e-05 0.9922522421  1.07694   PASS
 140   9730   4865   4865   1.2882e-05 0.9923073733  1.07697   PASS
 141   9870   4935   4935   1.2612e-05 0.9923617504  1.07699   PASS
 142  10011   5005   5005   1.2349e-05 0.9924153880  1.07701   PASS
 143  10153   5076   5076   1.2093e-05 0.9924682545  1.07704   PASS
 144  10296   5148   5148   1.1844e-05 0.9925203674  1.07707   PASS
 145  10440   5220   5220   1.1602e-05 0.9925717866  1.07709   PASS
 146  10585   5292   5292   1.1367e-05 0.9926225248  1.07711   PASS
 147  10731   5365   5365   1.1138e-05 0.9926725541  1.07713   PASS
 148  10878   5439   5439   1.0915e-05 0.9927218899  1.07716   PASS
 149  11026   5513   5513   1.0698e-05 0.9927705859  1.07718   PASS
 150  11175   5587   5587   1.0486e-05 0.9928186537  1.07720   PASS
 151  11325   5662   5662   1.0281e-05 0.9928660680  1.07722   PASS
 152  11476   5738   5738   1.0080e-05 0.9929128428  1.07725   PASS
 153  11628   5814   5814   9.8848e-06 0.9929590263  1.07727   PASS
 154  11781   5890   5890   9.6945e-06 0.9930046289  1.07729   PASS
 155  11935   5967   5967   9.5091e-06 0.9930496280  1.07731   PASS
 156  12090   6045   6045   9.3284e-06 0.9930940361  1.07733   PASS
 157  12246   6123   6123   9.1522e-06 0.9931378965  1.07735   PASS
 158  12403   6201   6201   8.9805e-06 0.9931812189  1.07737   PASS
 159  12561   6280   6280   8.8130e-06 0.9932239826  1.07739   PASS
 160  12720   6360   6360   8.6496e-06 0.9932661990  1.07741   PASS
 161  12880   6440   6440   8.4903e-06 0.9933079073  1.07743   PASS
 162  13041   6520   6520   8.3348e-06 0.9933491162  1.07744   PASS
 163  13203   6601   6601   8.1832e-06 0.9933898070  1.07746   PASS
 164  13366   6683   6683   8.0352e-06 0.9934299900  1.07748   PASS
 165  13530   6765   6765   7.8907e-06 0.9934697008  1.07750   PASS
 166  13695   6847   6847   7.7497e-06 0.9935089471  1.07751   PASS
 167  13861   6930   6930   7.6120e-06 0.9935477121  1.07753   PASS
 168  14028   7014   7014   7.4775e-06 0.9935860051  1.07755   PASS
 169  14196   7098   7098   7.3462e-06 0.9936238583  1.07757   PASS
 170  14365   7182   7182   7.2180e-06 0.9936612790  1.07758   PASS
 171  14535   7267   7267   7.0927e-06 0.9936982517  1.07760   PASS
 172  14706   7353   7353   6.9703e-06 0.9937347849  1.07762   PASS
 173  14878   7439   7439   6.8507e-06 0.9937709080  1.07763   PASS
 174  15051   7525   7525   6.7339e-06 0.9938066274  1.07765   PASS
 175  15225   7612   7612   6.6196e-06 0.9938419293  1.07766   PASS
 176  15400   7700   7700   6.5080e-06 0.9938768212  1.07768   PASS
 177  15576   7788   7788   6.3988e-06 0.9939113300  1.07769   PASS
 178  15753   7876   7876   6.2921e-06 0.9939454617  1.07771   PASS
 179  15931   7965   7965   6.1877e-06 0.9939792034  1.07772   PASS
 180  16110   8055   8055   6.0856e-06 0.9940125622  1.07774   PASS
 181  16290   8145   8145   5.9858e-06 0.9940455625  1.07775   PASS
 182  16471   8235   8235   5.8881e-06 0.9940782099  1.07777   PASS
 183  16653   8326   8326   5.7926e-06 0.9941104927  1.07778   PASS
 184  16836   8418   8418   5.6991e-06 0.9941424172  1.07780   PASS
 185  17020   8510   8510   5.6076e-06 0.9941740058  1.07781   PASS
 186  17205   8602   8602   5.5180e-06 0.9942052637  1.07782   PASS
 187  17391   8695   8695   5.4304e-06 0.9942361801  1.07783   PASS
 188  17578   8789   8789   5.3445e-06 0.9942667608  1.07785   PASS
 189  17766   8883   8883   5.2605e-06 0.9942970264  1.07786   PASS
 190  17955   8977   8977   5.1783e-06 0.9943269816  1.07787   PASS
 191  18145   9072   9072   5.0977e-06 0.9943566165  1.07789   PASS
 192  18336   9168   9168   5.0188e-06 0.9943859365  1.07790   PASS
 193  18528   9264   9264   4.9416e-06 0.9944149604  1.07791   PASS
 194  18721   9360   9360   4.8659e-06 0.9944436927  1.07792   PASS
 195  18915   9457   9457   4.7917e-06 0.9944721242  1.07794   PASS
 196  19110   9555   9555   4.7191e-06 0.9945002598  1.07795   PASS
 197  19306   9653   9653   4.6479e-06 0.9945281170  1.07796   PASS
 198  19503   9751   9751   4.5781e-06 0.9945556997  1.07797   PASS
 199  19701   9850   9850   4.5097e-06 0.9945829996  1.07798   PASS
 200  19900   9950   9950   4.4427e-06 0.9946100211  1.07800   PASS
 201  20100  10050  10050   4.3770e-06 0.9946367805  1.07801   PASS
 202  20301  10150  10150   4.3126e-06 0.9946632813  1.07802   PASS
 203  20503  10251  10251   4.2494e-06 0.9946895158  1.07803   PASS
